created_at,order_id,clue_id,city_id,chexing_id,sku_id,vin,engine_num
2019/7/15 11:32,88,29615960,45,180795,28,v1ouoOT/uusQ3oWt7+g2+/VvZLY5QzKFENIK7h/nXJbPc=,v1lULizO84sk7qMz0wuKi4GA==
2019/7/13 16:03,78,29615959,67,180795,134,,
2019/7/30 17:03,531,33671731,1,180795,1,,
2019/8/8 11:04,903,68398301,16,171667,50,,
2019/8/9 16:24,979,20897076,123,38857,39,v1ibc5alHngHeg6c0sAFao/N/2dU6bai0ZArr3Yp1Ml34=,v14gZpbu9YQz/xun8b15UclQ==
2019/8/10 8:30,993,24228616,12,180795,134,v1zAQO/Fe+3piMeEM6as292bP4y3u+YiAVpC1F800frdk=,v1J3VJTpSV0Sq4LtSpH05y1w==
2019/7/20 17:23,197,55005157,15,174449,52,v1Wx5mtyZ/1UpY4J25tLwa8F3i/T5HHMatVwqR76nO6n8=,v1uUuuneKssEhaVra72RIqnQ==
2019/7/29 15:39,486,55441837,67,174449,51,,
2019/8/18 16:24,1487,23280860,16,164009,65,v1yDBtHzU9RfB+a1LBfOHGad/2dU6bai0ZArr3Yp1Ml34=,v1S8Vl5AETTSQSV5r/cbsxMA==
2019/8/22 11:16,1725,21621916,65,173132,21,,
2019/8/24 17:06,1949,61737603,26,180795,134,,
2019/8/24 21:43,1966,70915803,65,180795,134,,
2019/8/30 11:32,2567,50535927,12,182024,124,v1Key7NY6qicYUyjV06k9+65eVApX+AsUIjGBoyDymXjg=,v1x1h+tlIo4dEZdqS/xaojXQ==
2019/9/7 14:23,3199,63264267,45,172079,77,,
2019/9/9 13:32,3334,55021776,20,180795,134,v1U1KO77Q5lfit5Er0OxOCoN/2dU6bai0ZArr3Yp1Ml34=,v1x1h+tlIo4dEZdqS/xaojXQ==
2019/9/10 13:29,3398,33305333,16,178540,105,,
2019/9/10 15:04,3410,55004472,123,180795,134,v18RfGFHGLvkFVTZm8TjbtN2j43DYR7mGtVLJBbyMBmdw=,v1x1h+tlIo4dEZdqS/xaojXQ==
2019/9/10 16:21,3426,71345642,103,180795,135,v1Qf5cY61MpCih1s3FVbQ6KB343PlZtXqHHkl5fgUjYoQ=,v1x1h+tlIo4dEZdqS/xaojXQ==
2019/9/11 10:45,3471,6542039,123,171667,50,,
2019/9/16 14:21,3955,6585552,214,181022,110,,
2019/9/19 13:19,4211,6635947,24,179112,79,v1nz8wK96tUGoekjKrzshRFbP4y3u+YiAVpC1F800frdk=,v1x1h+tlIo4dEZdqS/xaojXQ==
2019/9/22 16:08,4485,6663111,15,172358,191,v1SK4+hDq+LCxY5OWjTYGLL2OZnagq2eVDBS6ETU4632s=,v1x1h+tlIo4dEZdqS/xaojXQ==
2019/9/23 12:03,4542,7189689,16,180795,134,v1AoO/6vgvYA4RDf8hPE7Al2j43DYR7mGtVLJBbyMBmdw=,v1x1h+tlIo4dEZdqS/xaojXQ==
2019/9/25 15:49,4717,8874271,194,177486,8,,
2019/9/26 11:32,4770,6507741,12,180444,141,,
2019/9/26 11:38,4772,6526832,204,178641,169,,
2019/9/26 14:58,4808,6579872,84,180775,125,v1jt6DyVhXjuB+NLsIgP1ib0p2kMRO/dAk9p1TeSih40w=,v1WqHNOfhdMlUA8nIwSzgryA==
2019/9/27 11:20,4875,6580106,20,181048,10,,
2019/9/27 12:09,4884,8763952,12,180795,135,v1LFwPM5GxR4D8y2RDKsG73l3i/T5HHMatVwqR76nO6n8=,v1x1h+tlIo4dEZdqS/xaojXQ==
2019/10/6 10:31,5548,6555636,76,174449,51,,
2019/10/6 15:53,5598,6555981,26,182257,185,,
2019/10/7 10:12,5632,6559235,214,180775,125,,
2019/10/10 12:41,6051,6580345,123,179305,55,,
2019/10/10 15:35,6085,6616221,12,182024,124,v1Iy2rgBppoUPCMogu1/NbU7P4y3u+YiAVpC1F800frdk=,v1x1h+tlIo4dEZdqS/xaojXQ==
2019/10/12 18:00,6392,6640311,113,182296,83,v11tvtSvl5uQoM2/IIU02Lml3i/T5HHMatVwqR76nO6n8=,v1x1h+tlIo4dEZdqS/xaojXQ==
2019/10/13 15:32,6532,6653436,67,180795,134,v1cucoCV3Y/vk0PYpSdn6gY8okcaMCAvdi35yKSGRDmSc=,v1x1h+tlIo4dEZdqS/xaojXQ==
2019/10/14 16:40,6747,6599636,66,173251,171,,
2019/10/17 11:18,7204,6635314,214,182977,218,,
2019/10/17 15:22,7278,11024559,16,177486,8,,
2019/10/18 14:00,7473,6597994,123,181245,165,v1ckgDwmDh+ED6OSn7YPAtFmj43DYR7mGtVLJBbyMBmdw=,v1x1h+tlIo4dEZdqS/xaojXQ==
2019/10/19 9:50,7614,6555649,16,161662,107,,
2019/10/20 12:10,7907,6559643,13,179604,142,v1XN2KndKkrIzCj6D6QQPI29/2dU6bai0ZArr3Yp1Ml34=,v1x1h+tlIo4dEZdqS/xaojXQ==
2019/10/21 11:07,8137,6587785,204,182024,124,,
2019/10/23 15:24,8713,6549264,65,179301,100,,
2019/10/23 15:32,8715,6581111,16,177021,194,,
2019/10/24 9:15,8839,7564869,67,181048,9,,
2019/10/24 18:49,9098,6544950,114,173166,216,v1pDpAExrUE8IecZ5ow2WK4Gj43DYR7mGtVLJBbyMBmdw=,v1aqcN3wcABr5wCRojtLUdZg==
2019/10/27 15:17,9845,6546724,17,178495,222,,
2019/10/27 18:17,9921,6547865,113,179604,244,,
2019/10/27 20:21,9958,6598853,16,180795,134,,
